p=1 p_inf=0.1 time series=0,1,9,17
Format is t, #suscepted, #infected, #recovered
0 999 1 0
1 999 1 0
2 999 1 0
3 996 1 3
4 994 4 2
5 986 6 8
6 970 14 16
7 950 30 20
8 910 49 41
9 842 89 69
10 737 157 106
11 582 262 156
12 404 414 182
13 237 590 173
14 129 749 122
15 78 841 81
16 47 873 80
17 25 864 111
18 18 818 164
19 17 720 263
20 16 569 415
21 22 394 584
22 36 229 735
23 51 123 826
24 87 76 837
25 150 49 801
26 250 32 718
27 400 30 570
28 563 31 406
29 703 43 254
30 777 68 155
31 758 100 142
32 693 166 141
33 576 258 166
34 407 392 201
35 262 563 175
36 148 707 145
37 77 809 114
38 43 855 102
39 28 857 115
40 20 806 174
41 20 722 258
42 19 588 393
43 22 418 560
44 34 271 695
45 55 157 788
46 87 90 823
47 154 56 790
48 242 40 718
49 372 36 592
50 526 40 434
51 641 56 303
52 700 88 212
53 673 143 184
54 590 237 173
55 438 354 208
56 280 522 198
57 168 684 148
58 96 792 112
59 51 848 101
60 30 861 109
61 22 827 151
62 16 741 243
63 15 630 355
64 20 463 517
65 24 296 680
66 43 184 773
67 71 109 820
68 118 68 814
69 208 55 737
70 315 51 634
71 465 55 480
72 605 72 323
73 651 99 250
74 628 165 207
75 539 263 198
76 404 393 203
77 239 541 220
78 142 710 148
79 83 803 114
80 53 845 102
81 37 848 115
82 25 798 177
83 21 712 267
84 27 586 387
85 29 432 539
86 38 261 701
87 54 159 787
88 80 101 819
89 143 72 785
90 235 59 706
91 362 53 585
92 487 52 461
93 625 81 294
94 655 114 231
95 605 186 209
96 502 294 204
97 378 426 196
98 263 563 174
99 168 684 148
100 99 780 121
101 62 820 118
102 43 824 133
103 35 771 194
104 24 671 305
105 23 550 427
106 30 414 556
107 35 286 679
108 64 185 751
109 100 116 784
110 165 76 759
111 265 64 671
112 385 64 551
113 502 65 433
114 590 84 326
115 626 124 250
116 593 189 218
117 485 291 224
118 348 439 213
119 208 588 204
120 124 728 148
121 69 811 120
122 41 847 112
123 31 835 134
124 23 780 197
125 20 686 294
126 20 541 439
127 27 392 581
128 37 245 718
129 62 152 786
130 101 91 808
131 168 64 768
132 268 52 680
133 404 46 550
134 540 55 405
135 651 68 281
136 688 104 208
137 650 160 190
138 531 259 210
139 381 405 214
140 241 567 192
141 142 713 145
142 101 803 96
143 62 831 107
144 41 834 125
145 30 799 171
146 23 711 266
147 17 572 411
148 19 416 565
149 33 268 699
150 53 164 783
151 87 116 797
152 145 79 776
153 241 56 703
154 373 48 579
155 513 55 432
156 629 71 300
157 659 103 238
158 608 177 215
159 521 276 203
