p=3.0517578125e-05 p_inf=0.1 time series=0,1,9,17
Format is t, #suscepted, #infected, #recovered
0 998 1 1
1 996 2 2
2 994 4 2
3 992 6 2
4 988 8 4
5 983 12 5
6 976 17 7
7 975 24 1
8 969 24 7
9 963 29 8
10 961 33 6
11 959 33 8
12 956 33 11
13 952 32 16
14 947 31 22
15 945 29 26
16 945 31 24
17 942 26 32
18 942 25 33
19 941 25 34
20 941 26 33
21 944 27 29
22 950 25 25
23 949 21 30
24 951 20 29
25 952 23 25
26 950 23 27
27 948 25 27
28 947 26 27
29 948 26 26
30 949 27 24
31 947 30 23
32 946 33 21
33 948 31 21
34 948 29 23
35 947 27 26
36 946 27 27
37 944 28 28
38 939 29 32
39 934 31 35
40 932 33 35
41 934 37 29
42 935 37 28
43 934 38 28
44 931 39 30
45 932 41 27
46 932 39 29
47 933 37 30
48 933 34 33
49 935 30 35
50 935 28 37
51 936 27 37
52 936 25 39
53 938 23 39
54 939 23 38
55 945 24 31
56 947 21 32
57 946 23 31
58 944 26 30
59 945 29 26
60 948 30 22
61 942 29 29
62 941 35 24
63 942 35 23
64 938 37 25
65 936 39 25
66 930 38 32
67 932 41 27
68 930 38 32
69 930 41 29
70 931 35 34
71 929 34 37
72 927 34 39
73 927 34 39
74 929 35 36
75 924 30 46
76 927 38 35
77 930 32 38
78 933 35 32
79 932 33 35
80 934 34 32
81 932 32 36
82 936 33 31
83 934 34 32
84 937 28 35
85 934 31 35
86 936 31 33
87 933 31 36
88 933 33 34
89 935 35 30
90 932 32 36
91 939 34 27
92 936 33 31
93 938 33 29
94 936 31 33
95 933 33 34
96 929 34 37
97 931 36 33
98 932 37 31
99 932 34 34
100 935 35 30
101 937 32 31
102 934 32 34
103 937 33 30
104 939 29 32
105 939 25 36
106 941 24 35
107 937 25 38
108 940 28 32
109 940 28 32
110 941 28 31
111 945 26 29
112 949 26 25
113 945 26 29
114 945 31 24
115 944 30 26
116 945 28 27
117 946 27 27
118 949 26 25
119 948 25 27
120 946 26 28
121 938 28 34
122 933 31 36
123 932 37 31
124 922 40 38
125 916 51 33
126 913 58 29
127 904 62 34
128 899 70 31
129 901 73 26
130 896 68 36
131 891 67 42
132 886 69 45
133 882 63 55
134 878 60 62
135 878 60 62
136 873 52 75
137 875 54 71
138 874 57 69
139 871 59 70
140 870 60 70
141 864 67 69
142 860 76 64
143 861 80 59
144 861 87 52
145 858 85 57
146 856 85 59
147 850 85 65
148 848 90 62
149 847 85 68
150 846 77 77
151 841 74 85
152 844 72 84
153 844 71 85
154 846 71 83
155 849 69 82
156 854 61 85
157 860 61 79
158 860 63 77
159 858 66 76
160 855 70 75
161 851 74 75
162 855 78 67
163 859 76 65
164 858 80 62
165 859 81 60
166 859 78 63
167 858 75 67
168 857 72 71
169 856 69 75
170 854 66 80
171 848 70 82
172 845 72 83
173 841 74 85
174 840 81 79
175 844 85 71
176 851 84 65
177 852 80 68
178 849 82 69
179 851 81 68
180 851 77 72
181 843 75 82
182 839 76 85
183 834 76 90
184 831 82 87
185 827 89 84
186 829 91 80
187 821 90 89
188 817 102 81
189 819 108 73
190 815 105 80
191 804 109 87
192 787 114 99
193 780 124 96
194 776 129 95
195 773 134 93
196 767 125 108
197 765 125 110
198 768 130 102
199 767 123 110
200 767 119 114
201 763 109 128
202 756 108 136
203 766 110 124
204 764 109 127
205 763 111 126
206 763 107 130
207 768 114 118
208 772 113 115
209 773 119 108
210 768 119 113
211 754 122 124
212 745 137 118
213 751 144 105
214 742 142 116
215 727 144 129
216 713 160 127
217 718 168 114
218 713 163 124
219 699 165 136
220 696 164 140
221 684 160 156
222 671 174 155
223 672 185 143
224 672 168 160
225 665 160 175
226 666 172 162
227 672 169 159
228 675 164 161
229 662 165 173
230 647 164 189
231 656 168 176
232 670 176 154
233 660 170 170
234 656 168 176
235 659 175 166
236 654 177 169
237 656 181 163
238 659 180 161
239 655 173 172
240 651 169 180
241 657 179 164
242 646 175 179
243 641 179 180
244 635 182 183
245 638 184 178
246 643 182 175
247 638 184 178
248 622 193 185
249 619 199 182
250 608 206 186
251 593 213 194
252 587 225 188
253 585 229 186
254 580 233 187
255 567 236 197
256 560 240 200
257 546 241 213
258 547 248 205
259 544 240 216
260 543 231 226
261 533 228 239
262 528 234 238
263 527 236 237
264 521 233 246
265 515 238 247
266 513 237 250
267 511 247 242
268 507 258 235
269 499 265 236
270 486 267 247
271 483 278 239
272 467 284 249
273 468 295 237
274 461 295 244
275 450 292 258
276 441 292 267
277 425 294 281
278 429 308 263
279 423 293 284
280 422 293 285
281 427 283 290
282 440 278 282
283 449 268 283
284 455 259 286
285 462 251 287
286 468 230 302
287 477 239 284
288 493 230 277
289 484 224 292
290 482 238 280
291 483 250 267
292 486 258 256
293 493 263 244
294 481 277 242
295 485 280 235
296 484 285 231
297 465 292 243
298 445 297 258
299 444 305 251
300 442 298 260
301 436 295 269
302 440 287 273
303 435 280 285
304 436 280 284
305 449 272 279
306 455 254 291
307 460 240 300
308 455 242 303
309 461 250 289
310 469 252 279
311 473 251 276
312 467 247 286
313 475 261 264
314 485 271 244
315 480 275 245
316 466 278 256
317 444 284 272
318 445 304 251
319 438 304 258
320 424 315 261
321 406 315 279
322 407 323 270
323 401 318 281
324 410 321 269
325 401 306 293
326 393 295 312
327 380 303 317
328 384 305 311
329 380 301 319
330 382 297 321
331 377 300 323
332 367 302 331
333 381 327 292
334 368 324 308
335 376 329 295
336 382 319 299
337 378 317 305
338 358 325 317
339 355 342 303
340 342 343 315
341 339 331 330
342 336 337 327
343 343 335 322
344 337 338 325
345 354 346 300
346 347 321 332
347 352 311 337
348 370 305 325
349 371 299 330
350 379 292 329
351 377 286 337
352 369 285 346
