p=0.25 p_inf=0.1 time series=0,1,9,17
Format is t, #suscepted, #infected, #recovered
0 997 1 2
1 996 3 1
2 993 4 3
3 985 7 8
4 970 15 15
5 953 30 17
6 917 47 36
7 871 83 46
8 789 128 83
9 671 208 121
10 522 325 153
11 348 471 181
12 204 637 159
13 98 766 136
14 46 855 99
15 18 871 111
16 12 854 134
17 8 780 212
18 9 667 324
19 15 520 465
20 30 348 622
21 42 204 754
22 75 103 822
23 118 54 828
24 198 28 774
25 311 22 667
26 452 22 526
27 607 28 365
28 728 45 227
29 788 68 144
30 777 109 114
31 703 169 128
32 582 269 149
33 432 396 172
34 277 546 177
35 140 695 165
36 69 815 116
37 33 863 104
38 20 858 122
39 13 811 176
40 10 718 272
41 11 594 395
42 17 443 540
43 33 288 679
44 53 152 795
45 88 84 828
46 141 54 805
47 236 48 716
48 348 46 606
49 480 58 462
50 593 77 330
51 675 119 206
52 651 173 176
53 572 265 163
54 412 374 214
55 287 540 173
56 168 667 165
57 85 774 141
58 47 838 115
59 24 834 142
60 14 803 183
61 19 721 260
62 25 607 368
63 24 435 541
64 36 309 655
65 55 190 755
66 96 107 797
67 143 70 787
68 221 54 725
69 328 58 614
70 480 65 455
71 576 85 339
72 629 115 256
73 623 181 196
74 526 270 204
75 408 404 188
76 282 538 180
77 159 660 181
78 84 776 140
79 49 831 120
80 26 836 138
81 18 793 189
82 11 712 277
83 15 585 400
84 29 447 524
85 30 311 659
86 48 194 758
87 76 121 803
88 136 88 776
89 208 71 721
90 330 80 590
91 438 85 477
92 509 115 376
93 562 180 258
94 552 244 204
95 453 327 220
96 328 459 213
97 221 601 178
98 126 699 175
99 72 789 139
100 36 813 151
101 25 784 191
102 21 731 248
103 23 652 325
104 24 518 458
105 40 375 585
106 49 261 690
107 78 162 760
108 135 109 756
109 194 81 725
110 268 75 657
111 384 80 536
112 505 98 397
113 564 120 316
114 591 175 234
115 554 247 199
116 448 337 215
117 321 471 208
118 210 604 186
119 118 710 172
120 68 784 148
121 42 812 146
122 27 783 190
123 18 726 256
124 22 645 333
125 31 507 462
126 35 365 600
127 55 255 690
128 79 161 760
129 127 109 764
130 189 90 721
131 264 85 651
132 379 91 530
133 476 114 410
134 540 159 301
135 552 205 243
136 493 287 220
137 376 398 226
138 259 534 207
139 154 656 190
140 75 755 170
141 45 811 144
142 34 796 170
143 23 761 216
144 21 690 289
145 26 581 393
146 35 440 525
147 51 309 640
148 72 194 734
149 115 117 768
150 152 89 759
151 231 87 682
152 324 79 597
153 438 95 467
154 525 122 353
155 585 166 249
156 569 221 210
157 469 314 217
158 345 442 213
159 227 568 205
160 129 694 177
161 74 776 150
162 46 804 150
163 35 788 177
164 29 744 227
165 30 657 313
166 36 528 436
167 35 396 569
168 54 271 675
169 83 170 747
170 122 113 765
171 167 90 743
172 253 89 658
173 365 90 545
174 476 107 417
175 556 128 316
176 579 173 248
177 528 251 221
178 417 359 224
179 309 493 198
180 193 602 205
181 114 717 169
182 68 779 153
183 46 804 150
184 33 781 186
185 19 716 265
186 24 622 354
187 30 483 487
188 40 368 592
189 58 243 699
190 82 163 755
191 126 114 760
192 196 93 711
193 291 88 621
194 404 87 509
195 496 113 391
196 571 136 293
197 571 186 243
198 538 266 196
199 425 348 227
200 289 482 229
201 187 623 190
202 109 726 165
203 64 778 158
204 34 800 166
205 25 780 195
206 25 709 266
207 27 627 346
208 32 491 477
209 45 345 610
210 72 229 699
211 95 150 755
212 129 105 766
213 202 91 707
214 269 89 642
215 389 104 507
216 494 120 386
217 544 161 295
218 524 227 249
219 452 326 222
220 351 443 206
221 236 558 206
222 133 675 192
223 77 763 160
224 48 803 149
225 28 791 181
226 22 745 233
227 22 652 326
228 36 535 429
229 44 406 550
230 60 281 659
231 75 177 748
232 117 122 761
233 171 92 737
234 254 84 662
235 351 94 555
236 457 114 429
237 528 137 335
238 568 191 241
239 520 255 225
240 418 358 224
241 301 490 209
242 190 615 195
243 116 716 168
244 61 770 169
245 41 802 157
246 34 768 198
247 26 711 263
248 25 616 359
249 33 485 482
250 46 352 602
251 68 238 694
252 87 162 751
253 131 111 758
254 186 101 713
255 274 103 623
256 391 110 499
257 480 124 396
258 527 168 305
259 507 235 258
260 430 331 239
261 329 459 212
262 228 570 202
263 134 669 197
264 78 756 166
265 47 798 155
266 33 785 182
267 27 732 241
268 26 642 332
269 36 515 449
270 49 394 557
271 65 282 653
272 74 179 747
273 117 128 755
274 178 98 724
275 256 90 654
276 372 102 526
277 457 113 430
278 506 149 345
279 530 212 258
280 489 291 220
281 408 383 209
282 310 494 196
283 196 600 204
284 131 702 167
285 80 756 164
286 47 771 182
287 33 741 226
288 37 676 287
289 33 580 387
290 37 473 490
291 52 363 585
292 69 246 685
293 92 175 733
294 143 137 720
295 219 116 665
296 304 105 591
297 378 116 506
298 449 149 402
299 502 188 310
300 492 252 256
301 425 333 242
302 339 438 223
303 248 545 207
304 155 647 198
305 105 729 166
306 72 746 182
307 50 740 210
308 39 698 263
309 40 628 332
310 48 522 430
311 48 407 545
312 57 305 638
313 94 214 692
314 128 160 712
315 185 132 683
316 243 117 640
317 341 129 530
318 436 137 427
319 487 157 356
320 509 208 283
321 472 277 251
322 378 368 254
323 275 490 235
324 183 608 209
325 128 688 184
326 71 735 194
327 48 772 180
328 33 744 223
329 29 690 281
330 31 603 366
331 41 479 480
332 58 351 591
333 71 254 675
334 83 194 723
335 135 145 720
336 194 121 685
337 270 116 614
338 367 127 506
339 451 154 395
340 488 198 314
341 462 258 280
342 414 344 242
343 311 441 248
344 223 568 209
345 131 661 208
346 87 742 171
347 64 759 177
348 45 738 217
349 39 697 264
350 45 617 338
351 38 514 448
352 52 394 554
353 64 287 649
354 92 194 714
355 128 149 723
356 180 134 686
357 264 123 613
358 349 119 532
359 450 137 413
360 512 156 332
361 532 201 267
362 466 274 260
363 374 385 241
364 266 492 242
365 181 611 208
366 104 700 196
367 68 759 173
368 43 776 181
369 30 756 214
370 31 696 273
371 34 584 382
372 40 474 486
373 48 349 603
374 66 252 682
375 85 175 740
376 131 139 730
377 194 113 693
378 283 110 607
379 371 133 496
380 458 155 387
381 481 193 326
382 471 267 262
383 405 354 241
384 320 456 224
385 221 567 212
386 138 669 193
387 89 729 182
388 64 756 180
389 45 743 212
390 41 688 271
391 41 605 354
392 34 503 463
393 47 399 554
394 75 284 641
395 96 196 708
396 129 148 723
397 191 128 681
398 268 121 611
399 355 127 518
400 432 142 426
401 494 169 337
402 503 222 275
403 447 301 252
404 349 405 246
405 252 523 225
406 170 627 203
407 107 703 190
408 73 751 176
409 51 758 191
410 33 727 240
411 34 666 300
412 43 561 396
413 48 434 518
414 56 325 619
415 79 241 680
416 109 170 721
417 159 133 708
418 220 114 666
419 312 114 574
420 398 127 475
421 469 168 363
422 493 206 301
423 480 266 254
424 404 350 246
425 321 463 216
426 228 565 207
427 152 658 190
428 95 721 184
429 62 737 201
430 50 732 218
431 47 684 269
432 40 603 357
433 41 497 462
434 53 394 553
435 64 289 647
436 100 215 685
437 137 163 700
438 190 131 679
439 259 126 615
440 355 138 507
441 431 148 421
442 484 175 341
443 480 227 293
444 429 305 266
445 337 408 255
446 236 532 232
447 139 638 223
448 100 723 177
449 62 752 186
450 49 763 188
451 43 724 233
452 44 652 304
453 44 548 408
454 51 424 525
455 68 311 621
456 82 209 709
457 111 166 723
458 159 126 715
459 227 117 656
460 318 121 561
461 411 134 455
462 469 165 366
463 485 220 295
464 432 306 262
465 352 402 246
466 248 522 230
467 162 635 203
468 111 717 172
469 72 755 173
470 54 763 183
471 35 726 239
472 34 659 307
473 30 564 406
474 39 448 513
475 56 326 618
476 73 227 700
477 111 172 717
478 166 126 708
479 244 108 648
480 333 97 570
481 433 103 464
482 498 119 383
483 536 176 288
484 517 237 246
485 452 311 237
486 346 422 232
487 242 546 212
488 136 661 203
489 85 761 154
490 59 796 145
491 42 765 193
492 31 721 248
493 27 658 315
494 30 551 419
495 38 424 538
496 52 301 647
497 72 187 741
498 128 132 740
499 184 107 709
500 245 95 660
501 336 97 567
502 433 113 454
503 497 143 360
504 538 202 260
505 491 275 234
506 385 377 238
507 271 508 221
508 180 634 186
509 112 723 165
510 65 775 160
511 39 792 169
512 30 759 211
513 30 695 275
514 24 593 383
515 32 468 500
516 48 334 618
517 69 229 702
518 105 156 739
519 161 103 736
520 221 80 699
521 315 84 601
522 420 92 488
523 514 112 374
524 561 152 287
525 538 210 252
526 479 306 215
527 387 418 195
