z,a,V
9.4624,0.6413,180.3961
13.9221,0.4974,302.8404
14.9823,0.6272,442.3028
18.2607,0.5070,531.1659
20.4523,0.6331,831.9619
10.3171,0.5172,172.9573
13.8277,0.6318,379.4926
14.9002,0.4963,346.2080
17.8865,0.6388,642.0494
20.1535,0.5109,651.8767
10.6892,0.6624,237.7687
13.8304,0.5233,314.4679
14.9377,0.6415,449.6869
17.6970,0.5198,511.4162
20.7312,0.6323,853.7110
9.9445,0.4887,151.8389
13.9337,0.6473,394.8118
14.6784,0.5094,344.7943
17.8264,0.6526,651.4813
20.1744,0.5191,663.7162
9.9894,0.6443,201.9922
14.0249,0.5042,311.5706
15.2503,0.6447,471.0245
17.7790,0.5037,500.1623
21.4628,0.6380,923.2777
10.5578,0.5073,177.6524
14.6121,0.6386,428.3368
15.8733,0.5338,422.5247
17.6707,0.6334,621.3836
20.1349,0.5036,641.3965
9.5257,0.6495,185.1374
13.5994,0.5006,290.8449
15.1314,0.6346,456.4740
17.7450,0.4944,489.1056
20.4436,0.6385,838.3781
10.2184,0.5137,168.4985
13.5165,0.6413,368.0451
15.1145,0.5080,364.5472
18.4406,0.6417,685.5552
20.2049,0.5026,644.6072
9.8091,0.6160,186.2129
13.8729,0.5019,303.4355
15.3680,0.6438,477.6856
17.6321,0.5245,512.3078
20.1569,0.6451,823.4539
10.0288,0.5019,158.5777
14.4240,0.6388,417.5534
15.5610,0.4960,377.3489
17.4932,0.6416,616.8033
20.0348,0.5125,646.3373
9.4946,0.6182,175.0712
14.4010,0.5046,328.7585
15.1989,0.6530,473.9063
17.6874,0.4860,477.6221
20.3885,0.6278,819.8460
9.6629,0.4907,143.9498
13.6176,0.6234,363.1975
15.3102,0.4898,360.7018
17.6571,0.6391,625.9567
19.5335,0.4977,596.6078
9.8648,0.6361,194.4769
14.0712,0.5149,320.2949
15.6495,0.6315,485.8349
17.8138,0.5149,513.3053
20.3755,0.6327,825.1805
9.9764,0.5048,157.8421
14.0503,0.6388,396.1410
15.4474,0.5188,388.8896
17.4347,0.6312,602.7898
20.7227,0.5261,709.7792
9.5245,0.6213,177.0722
13.9525,0.4846,296.3780
15.1515,0.6375,459.7547
18.4100,0.4825,513.7226
20.2003,0.6031,773.1824
