Date,Team1,Team2,Score1,Score2,ET,PSO,Location,HomeTeam,Type,Info
04/01/2002,Egypt,Ghana,2,0,0,0,Cairo,1,Friendly,0
04/01/2002,Bahrain,Finland,0,2,0,0,Manama,1,Friendly,0
05/01/2002,Kuwait,Zimbabwe,3,0,0,0,KuwaitCity,1,Friendly,0
05/01/2002,FYRMacedonia,Albania,0,0,0,0,Manama,0,Friendly,0
06/01/2002,Cuba,Guatemala,0,1,0,0,Havana,1,Friendly,0
06/01/2002,Egypt,Mali,1,2,0,0,Ismailia,1,Friendly,0
07/01/2002,BurkinaFaso,Cameroon,1,3,0,0,Ouagadougou,1,Friendly,0
07/01/2002,Albania,Finland,1,1,0,0,Manama,0,Friendly,0
07/01/2002,Bahrain,FYRMacedonia,1,1,0,0,Manama,1,Friendly,0
08/01/2002,Kuwait,Iceland,0,0,0,0,Muscat,0,Friendly,0
08/01/2002,Qatar,Zimbabwe,0,2,0,0,Doha,1,Friendly,0
09/01/2002,Cuba,Guatemala,0,0,0,0,Havana,1,Friendly,0
10/01/2002,SaudiArabia,Iceland,1,0,0,0,Riyadh,1,Friendly,0
10/01/2002,Finland,FYRMacedonia,3,0,0,0,Manama,0,Friendly,0
10/01/2002,Mali,Zambia,1,1,0,0,Kayes,1,Friendly,0
10/01/2002,Bahrain,Albania,3,0,0,0,Manama,1,Friendly,0
11/01/2002,Egypt,BurkinaFaso,2,2,0,0,Cairo,1,Friendly,0
11/01/2002,Oman,Iraq,0,2,0,0,Doha,0,Friendly,0
11/01/2002,Tunisia,Cameroon,0,1,0,0,Rades,1,Friendly,0
11/01/2002,Grenada,TrinidadandTobago,2,3,0,0,St.George's,1,Friendly,0
12/01/2002,Côted'Ivoire,Nigeria,1,1,0,0,Abidjan,1,Friendly,0
12/01/2002,Ecuador,Guatemala,1,0,0,0,Guayaquil,1,Friendly,0
13/01/2002,Morocco,Guinea,2,1,0,0,Rabat,1,Friendly,0
13/01/2002,Qatar,Iraq,1,3,0,0,Doha,1,Friendly,0
14/01/2002,Algeria,Benin,4,0,0,0,Algiers,1,Friendly,0
15/01/2002,SouthAfrica,Angola,1,0,0,0,Mmabatho,1,Friendly,0
16/01/2002,SaudiArabia,Kuwait,1,1,0,0,Riyadh,1,Friendly,0
16/01/2002,BurkinaFaso,Zambia,2,1,0,0,Ouagadougou,1,Friendly,0
16/01/2002,Gambia,Morocco,0,2,0,0,Banjul,1,Friendly,0
17/01/2002,Qatar,Bahrain,1,0,0,0,Riyadh,0,Friendly,0
